,0
458,amapa
459,neya
460,drayton valley
461,srednekolymsk
462,mislinja
463,zaporizhzhya
464,paradwip
465,kiruna
466,mangrol
467,mapastepec
468,plouzane
469,eregli
470,tingrela
471,ondorhaan
472,mahebourg
473,usingen
474,mount gambier
475,gilgit
476,cordoba
477,chimbote
478,guerrero negro
479,sarakhs
480,nizwa
481,aquidauana
482,tower
483,labuhan
484,boende
485,alyangula
486,sao filipe
487,carutapera
488,algiers
489,salym
490,haibowan
491,villa carlos paz
492,mahajanga
493,sao joao da barra
494,mazagao
495,sale
496,miles city
497,yuncheng
498,beloha
499,gat
500,muravlenko
501,xinye
502,balikpapan
503,allahabad
504,kieta
505,caravelas
506,montana
507,fonte boa
508,makarov
509,sorochinsk
510,frontera
511,batticaloa
512,angola
513,rypefjord
514,darmanesti
515,soe
516,tadine
517,rongcheng
518,abu kamal
519,sataua
520,blackpool
521,limon
522,deputatskiy
523,karasjok
524,la palma
525,akureyri
526,kecel
527,ilulissat
528,copiapo
529,teya
530,bago
531,thinadhoo
532,amberley
533,atbasar
534,byron bay
535,gigmoto
536,ust-maya
537,lekoni
538,hohhot
539,ust-kulom
540,belmonte
541,qandahar
542,seymchan
543,heihe
544,jimeta
545,baruun-urt
546,dingle
547,myitkyina
548,kozachi laheri
549,kralendijk
550,antofagasta
551,chenove
552,louisbourg
553,tamworth
554,montepuez
555,germantown
556,griffith
557,palmer
558,ulaanbaatar
559,oksfjord
560,nehe
561,chazuta
562,tura
563,ribeira brava
564,santa maria del oro
565,aksarka
566,zyryanka
567,kysyl-syr
568,aleksandrovskoye
569,konjic
570,wahran
571,crangeni
572,praia da vitoria
573,ratnagiri
574,atherton
575,zyryanovsk
576,ushtobe
577,nova olimpia
578,bontang
579,surt
580,toora-khem
581,kirovohrad
582,dujuma
583,svobodnyy
584,binzhou
585,sigulda
586,dzaoudzi
587,finschhafen
588,kavaratti
589,aktas
590,porciuncula
591,huarmey
592,mabaruma
593,filadelfia
594,grand centre
595,bac lieu
596,betanzos
